development,origin,incurred,paid
1998-01,1996,1052,871
1999-01,1997,966,811
2000-01,1998,935,744
2001-01,1999,1021,832
2002-01,2000,788,616
2003-01,2001,1063,838
2004-01,2002,1617,1078
2005-01,2003,1092,873
2006-01,2004,1212,948
1997-04,1995,973,876
1998-04,1996,1122,964
1999-04,1997,1008,891
2000-04,1998,967,831
2001-04,1999,1141,955
2002-04,2000,842,697
2003-04,2001,1167,937
2004-04,2002,1505,1198
2005-04,2003,1176,949
1997-07,1995,997,916
1998-07,1996,1139,1017
1999-07,1997,1028,940
2000-07,1998,1019,902
2001-07,1999,1171,1048
2002-07,2000,912,758
2003-07,2001,1199,1020
2004-07,2002,1599,1325
2005-07,2003,1198,1019
1997-10,1995,1030,959
1998-10,1996,1173,1052
1999-10,1997,1069,976
2000-10,1998,1037,951
2001-10,1999,1249,1118
2002-10,2000,915,810
2003-10,2001,1242,1091
2004-10,2002,1695,1412
2005-10,2003,1230,1064
1998-01,1995,1020,968
1999-01,1996,1169,1089
2000-01,1997,1064,1000
2001-01,1998,1062,989
2002-01,1999,1267,1183
2003-01,2000,953,859
2004-01,2001,1307,1160
2005-01,2002,1818,1524
2006-01,2003,1221,1100
1998-04,1995,1035,1002
1999-04,1996,1174,1108
2000-04,1997,1073,1022
2001-04,1998,1079,1022
2002-04,1999,1289,1214
2003-04,2000,963,892
2004-04,2001,1305,1207
2005-04,2002,1716,1615
1998-07,1995,1055,1020
1999-07,1996,1205,1141
2000-07,1997,1086,1043
2001-07,1998,1099,1053
2002-07,1999,1358,1293
2003-07,2000,977,916
2004-07,2001,1348,1239
2005-07,2002,1819,1653
1998-10,1995,1072,1031
1999-10,1996,1225,1175
2000-10,1997,1112,1059
2001-10,1998,1138,1074
2002-10,1999,1400,1327
2003-10,2000,990,935
2004-10,2001,1362,1305
2005-10,2002,1839,1720
1999-01,1995,1070,1041
2000-01,1996,1238,1194
2001-01,1997,1100,1068
2002-01,1998,1126,1093
2003-01,1999,1400,1363
2004-01,2000,1001,950
2005-01,2001,1362,1323
2006-01,2002,1820,1760
1999-04,1995,1051,1035
2000-04,1996,1228,1208
2001-04,1997,1111,1080
2002-04,1998,1163,1132
2003-04,1999,1409,1383
2004-04,2000,1005,967
2005-04,2001,1376,1347
1999-07,1995,1062,1045
2000-07,1996,1239,1217
2001-07,1997,1115,1091
2002-07,1998,1198,1145
2003-07,1999,1437,1396
2004-07,2000,1013,982
2005-07,2001,1376,1365
1999-10,1995,1070,1054
2000-10,1996,1254,1226
2001-10,1997,1128,1099
2002-10,1998,1207,1162
2003-10,1999,1468,1438
2004-10,2000,1029,1004
2005-10,2001,1383,1375
2000-01,1995,1069,1060
2001-01,1996,1249,1231
2002-01,1997,1128,1104
2003-01,1998,1209,1177
2004-01,1999,1476,1457
2005-01,2000,1030,1013
2006-01,2001,1411,1387
2000-04,1995,1076,1068
2001-04,1996,1262,1243
2002-04,1997,1142,1130
2003-04,1998,1215,1192
2004-04,1999,1488,1474
2005-04,2000,1056,1028
2000-07,1995,1081,1075
2001-07,1996,1264,1249
2002-07,1997,1170,1135
2003-07,1998,1216,1197
2004-07,1999,1524,1504
2005-07,2000,1056,1036
2000-10,1995,1088,1079
2001-10,1996,1267,1252
2002-10,1997,1159,1138
2003-10,1998,1240,1213
2004-10,1999,1550,1521
2005-10,2000,1066,1046
2001-01,1995,1089,1081
2002-01,1996,1266,1253
2003-01,1997,1155,1141
2004-01,1998,1243,1225
2005-01,1999,1550,1532
2006-01,2000,1066,1054
2001-04,1995,1091,1084
2002-04,1996,1263,1256
2003-04,1997,1167,1147
2004-04,1998,1259,1237
2005-04,1999,1561,1547
2001-07,1995,1090,1086
2002-07,1996,1278,1258
2003-07,1997,1177,1163
2004-07,1998,1281,1265
2005-07,1999,1566,1559
2001-10,1995,1094,1089
2002-10,1996,1273,1261
2003-10,1997,1194,1184
2004-10,1998,1284,1274
2005-10,1999,1585,1565
2002-01,1995,1094,1091
2003-01,1996,1269,1266
2004-01,1997,1196,1185
2005-01,1998,1286,1275
2006-01,1999,1583,1573
2002-04,1995,1095,1094
2003-04,1996,1279,1267
2004-04,1997,1198,1186
2005-04,1998,1289,1278
2002-07,1995,1098,1095
2003-07,1996,1281,1268
2004-07,1997,1197,1189
2005-07,1998,1292,1286
2002-10,1995,1096,1096
2003-10,1996,1299,1288
2004-10,1997,1198,1192
2005-10,1998,1297,1288
2003-01,1995,1097,1097
2004-01,1996,1296,1288
2005-01,1997,1201,1194
2006-01,1998,1298,1293
2003-04,1995,1097,1098
2004-04,1996,1302,1289
2005-04,1997,1201,1195
2003-07,1995,1101,1098
2004-07,1996,1303,1291
2005-07,1997,1200,1197
2003-10,1995,1098,1099
2004-10,1996,1300,1296
2005-10,1997,1203,1197
2004-01,1995,1099,1099
2005-01,1996,1300,1296
2006-01,1997,1200,1198
2004-04,1995,1103,1100
2005-04,1996,1302,1297
2004-07,1995,1100,1098
2005-07,1996,1300,1298
2004-10,1995,1098,1098
2005-10,1996,1303,1298
2005-01,1995,1100,1098
2006-01,1996,1300,1298
2005-04,1995,1100,1099
2005-07,1995,1098,1099
2005-10,1995,1101,1100
2006-01,1995,1100,1100
