GRCODE,GRNAME,AccidentYear,DevelopmentYear,DevelopmentLag,IncurLoss,CumPaidLoss,BulkLoss,EarnedPremDIR,EarnedPremCeded,EarnedPremNet,Single,PostedReserve97,LOB
337,California Cas Grp,1993,1996,4,68546,46722,14100,119427,5075,114352,0,209415,wkcomp
337,California Cas Grp,1993,1997,5,67697,50742,11748,119427,5075,114352,0,209415,wkcomp
337,California Cas Grp,1994,1994,1,73628,11194,47270,110784,4244,106540,0,209415,wkcomp
337,California Cas Grp,1994,1995,2,73554,26893,29747,110784,4244,106540,0,209415,wkcomp
337,California Cas Grp,1994,1996,3,70736,38488,19740,110784,4244,106540,0,209415,wkcomp
337,California Cas Grp,1994,1997,4,69720,45580,17088,110784,4244,106540,0,209415,wkcomp
337,California Cas Grp,1995,1995,1,69521,12550,38471,77731,3079,74652,0,209415,wkcomp
337,California Cas Grp,1995,1996,2,80281,31604,28200,77731,3079,74652,0,209415,wkcomp
337,California Cas Grp,1995,1997,3,79381,44045,21360,77731,3079,74652,0,209415,wkcomp
337,California Cas Grp,1996,1996,1,69720,13194,36378,63646,3402,60244,0,209415,wkcomp
337,California Cas Grp,1996,1997,2,73181,31474,22428,63646,3402,60244,0,209415,wkcomp
337,California Cas Grp,1997,1997,1,50171,9372,24404,48052,2119,45933,0,209415,wkcomp
353,Celina Mut Grp,1988,1988,1,4636,1326,1964,10063,2254,7808,0,5820,wkcomp
353,Celina Mut Grp,1988,1989,2,5545,3140,998,10063,2254,7808,0,5820,wkcomp
353,Celina Mut Grp,1988,1990,3,5782,4422,231,10063,2254,7808,0,5820,wkcomp
353,Celina Mut Grp,1988,1991,4,6342,5036,99,10063,2254,7808,0,5820,wkcomp
353,Celina Mut Grp,1988,1992,5,6552,5629,45,10063,2254,7808,0,5820,wkcomp
353,Celina Mut Grp,1988,1993,6,6630,6060,27,10063,2254,7808,0,5820,wkcomp
353,Celina Mut Grp,1988,1994,7,6711,6249,36,10063,2254,7808,0,5820,wkcomp
353,Celina Mut Grp,1988,1995,8,6720,6325,31,10063,2254,7808,0,5820,wkcomp
353,Celina Mut Grp,1988,1996,9,6700,6471,24,10063,2254,7808,0,5820,wkcomp
353,Celina Mut Grp,1988,1997,10,6619,6489,-1,10063,2254,7808,0,5820,wkcomp
353,Celina Mut Grp,1989,1989,1,5197,1793,1825,10827,2650,8177,0,5820,wkcomp
353,Celina Mut Grp,1989,1990,2,6392,3698,865,10827,2650,8177,0,5820,wkcomp
353,Celina Mut Grp,1989,1991,3,7173,5098,773,10827,2650,8177,0,5820,wkcomp
353,Celina Mut Grp,1989,1992,4,7518,6093,578,10827,2650,8177,0,5820,wkcomp
353,Celina Mut Grp,1989,1993,5,7396,6474,246,10827,2650,8177,0,5820,wkcomp
353,Celina Mut Grp,1989,1994,6,7527,6497,313,10827,2650,8177,0,5820,wkcomp
353,Celina Mut Grp,1989,1995,7,7321,6601,123,10827,2650,8177,0,5820,wkcomp
353,Celina Mut Grp,1989,1996,8,7189,6731,49,10827,2650,8177,0,5820,wkcomp
353,Celina Mut Grp,1989,1997,9,7134,6896,29,10827,2650,8177,0,5820,wkcomp
353,Celina Mut Grp,1990,1990,1,7098,1941,3639,11358,2226,9132,0,5820,wkcomp
353,Celina Mut Grp,1990,1991,2,8159,4015,2023,11358,2226,9132,0,5820,wkcomp
353,Celina Mut Grp,1990,1992,3,8626,5589,1446,11358,2226,9132,0,5820,wkcomp
353,Celina Mut Grp,1990,1993,4,8340,6299,732,11358,2226,9132,0,5820,wkcomp
353,Celina Mut Grp,1990,1994,5,8141,6586,664,11358,2226,9132,0,5820,wkcomp
353,Celina Mut Grp,1990,1995,6,7817,6834,454,11358,2226,9132,0,5820,wkcomp
353,Celina Mut Grp,1990,1996,7,7547,7031,239,11358,2226,9132,0,5820,wkcomp
353,Celina Mut Grp,1990,1997,8,7417,7075,139,11358,2226,9132,0,5820,wkcomp
353,Celina Mut Grp,1991,1991,1,6419,1477,3698,11202,2243,8959,0,5820,wkcomp
353,Celina Mut Grp,1991,1992,2,7440,3742,1911,11202,2243,8959,0,5820,wkcomp
353,Celina Mut Grp,1991,1993,3,7165,4798,1311,11202,2243,8959,0,5820,wkcomp
353,Celina Mut Grp,1991,1994,4,6684,4986,1015,11202,2243,8959,0,5820,wkcomp
353,Celina Mut Grp,1991,1995,5,6189,5091,515,11202,2243,8959,0,5820,wkcomp
353,Celina Mut Grp,1991,1996,6,5934,5269,288,11202,2243,8959,0,5820,wkcomp
353,Celina Mut Grp,1991,1997,7,5788,5323,178,11202,2243,8959,0,5820,wkcomp
353,Celina Mut Grp,1992,1992,1,6572,1329,3630,9826,2186,7640,0,5820,wkcomp
353,Celina Mut Grp,1992,1993,2,5713,2593,1535,9826,2186,7640,0,5820,wkcomp
353,Celina Mut Grp,1992,1994,3,5328,2832,1165,9826,2186,7640,0,5820,wkcomp
353,Celina Mut Grp,1992,1995,4,4550,3222,403,9826,2186,7640,0,5820,wkcomp
353,Celina Mut Grp,1992,1996,5,4437,3417,273,9826,2186,7640,0,5820,wkcomp
353,Celina Mut Grp,1992,1997,6,4325,3527,178,9826,2186,7640,0,5820,wkcomp
353,Celina Mut Grp,1993,1993,1,2574,519,1754,5905,1824,4080,0,5820,wkcomp
353,Celina Mut Grp,1993,1994,2,2491,927,1143,5905,1824,4080,0,5820,wkcomp
353,Celina Mut Grp,1993,1995,3,2268,1040,1027,5905,1824,4080,0,5820,wkcomp
353,Celina Mut Grp,1993,1996,4,1522,1009,397,5905,1824,4080,0,5820,wkcomp
353,Celina Mut Grp,1993,1997,5,1444,1035,312,5905,1824,4080,0,5820,wkcomp
353,Celina Mut Grp,1994,1994,1,1815,578,1140,4192,1235,2957,0,5820,wkcomp
353,Celina Mut Grp,1994,1995,2,1745,966,631,4192,1235,2957,0,5820,wkcomp
353,Celina Mut Grp,1994,1996,3,1633,902,609,4192,1235,2957,0,5820,wkcomp
353,Celina Mut Grp,1994,1997,4,1527,1004,436,4192,1235,2957,0,5820,wkcomp
353,Celina Mut Grp,1995,1995,1,1451,375,850,3272,891,2381,0,5820,wkcomp
353,Celina Mut Grp,1995,1996,2,1355,575,620,3272,891,2381,0,5820,wkcomp
353,Celina Mut Grp,1995,1997,3,1303,646,587,3272,891,2381,0,5820,wkcomp
353,Celina Mut Grp,1996,1996,1,867,306,479,2447,696,1751,0,5820,wkcomp
353,Celina Mut Grp,1996,1997,2,938,501,403,2447,696,1751,0,5820,wkcomp
353,Celina Mut Grp,1997,1997,1,656,339,281,1333,326,1007,0,5820,wkcomp
388,Federal Ins Co Grp,1988,1988,1,110308,21898,32774,225847,44488,181359,0,778596,wkcomp
388,Federal Ins Co Grp,1988,1989,2,123010,56339,13552,225847,44488,181359,0,778596,wkcomp
388,Federal Ins Co Grp,1988,1990,3,125339,78457,10865,225847,44488,181359,0,778596,wkcomp
388,Federal Ins Co Grp,1988,1991,4,127382,92820,10656,225847,44488,181359,0,778596,wkcomp
388,Federal Ins Co Grp,1988,1992,5,128246,101261,10633,225847,44488,181359,0,778596,wkcomp
388,Federal Ins Co Grp,1988,1993,6,128699,103929,10106,225847,44488,181359,0,778596,wkcomp
388,Federal Ins Co Grp,1988,1994,7,130897,107855,11752,225847,44488,181359,0,778596,wkcomp
388,Federal Ins Co Grp,1988,1995,8,130559,111901,10155,225847,44488,181359,0,778596,wkcomp
388,Federal Ins Co Grp,1988,1996,9,131882,112388,12455,225847,44488,181359,0,778596,wkcomp
388,Federal Ins Co Grp,1988,1997,10,122959,111727,4349,225847,44488,181359,0,778596,wkcomp
388,Federal Ins Co Grp,1989,1989,1,121104,22549,37070,234956,49594,185362,0,778596,wkcomp
388,Federal Ins Co Grp,1989,1990,2,128545,59459,11935,234956,49594,185362,0,778596,wkcomp
388,Federal Ins Co Grp,1989,1991,3,132244,82918,12906,234956,49594,185362,0,778596,wkcomp
388,Federal Ins Co Grp,1989,1992,4,133841,98768,11780,234956,49594,185362,0,778596,wkcomp
388,Federal Ins Co Grp,1989,1993,5,135043,105504,12064,234956,49594,185362,0,778596,wkcomp
388,Federal Ins Co Grp,1989,1994,6,136807,110649,12744,234956,49594,185362,0,778596,wkcomp
388,Federal Ins Co Grp,1989,1995,7,137598,113833,13027,234956,49594,185362,0,778596,wkcomp
388,Federal Ins Co Grp,1989,1996,8,138111,116691,13294,234956,49594,185362,0,778596,wkcomp
388,Federal Ins Co Grp,1989,1997,9,138113,116055,14137,234956,49594,185362,0,778596,wkcomp
388,Federal Ins Co Grp,1990,1990,1,119767,23881,38734,246707,60141,186566,0,778596,wkcomp
388,Federal Ins Co Grp,1990,1991,2,127169,60315,14222,246707,60141,186566,0,778596,wkcomp
388,Federal Ins Co Grp,1990,1992,3,134288,85828,10840,246707,60141,186566,0,778596,wkcomp
388,Federal Ins Co Grp,1990,1993,4,139702,98656,13328,246707,60141,186566,0,778596,wkcomp
388,Federal Ins Co Grp,1990,1994,5,141489,106590,13326,246707,60141,186566,0,778596,wkcomp
388,Federal Ins Co Grp,1990,1995,6,140489,110107,13776,246707,60141,186566,0,778596,wkcomp
388,Federal Ins Co Grp,1990,1996,7,143717,113159,17497,246707,60141,186566,0,778596,wkcomp
388,Federal Ins Co Grp,1990,1997,8,141400,113243,18157,246707,60141,186566,0,778596,wkcomp
388,Federal Ins Co Grp,1991,1991,1,142657,25897,51403,284758,68244,216514,0,778596,wkcomp
388,Federal Ins Co Grp,1991,1992,2,149282,71409,21709,284758,68244,216514,0,778596,wkcomp
388,Federal Ins Co Grp,1991,1993,3,157683,95443,21487,284758,68244,216514,0,778596,wkcomp
388,Federal Ins Co Grp,1991,1994,4,159055,111051,16187,284758,68244,216514,0,778596,wkcomp
388,Federal Ins Co Grp,1991,1995,5,159992,120780,17909,284758,68244,216514,0,778596,wkcomp
388,Federal Ins Co Grp,1991,1996,6,164199,124499,23640,284758,68244,216514,0,778596,wkcomp
388,Federal Ins Co Grp,1991,1997,7,158833,124352,20786,284758,68244,216514,0,778596,wkcomp
388,Federal Ins Co Grp,1992,1992,1,144773,23486,62781,292319,69725,222594,0,778596,wkcomp
388,Federal Ins Co Grp,1992,1993,2,150292,59165,31286,292319,69725,222594,0,778596,wkcomp
388,Federal Ins Co Grp,1992,1994,3,147693,81511,23000,292319,69725,222594,0,778596,wkcomp
388,Federal Ins Co Grp,1992,1995,4,147402,96077,19336,292319,69725,222594,0,778596,wkcomp
388,Federal Ins Co Grp,1992,1996,5,149559,107063,20827,292319,69725,222594,0,778596,wkcomp
388,Federal Ins Co Grp,1992,1997,6,145693,109505,19783,292319,69725,222594,0,778596,wkcomp
388,Federal Ins Co Grp,1993,1993,1,154516,27029,54004,308666,71344,237322,0,778596,wkcomp
388,Federal Ins Co Grp,1993,1994,2,156009,60778,38400,308666,71344,237322,0,778596,wkcomp
388,Federal Ins Co Grp,1993,1995,3,153949,80161,36109,308666,71344,237322,0,778596,wkcomp
388,Federal Ins Co Grp,1993,1996,4,138152,89707,21816,308666,71344,237322,0,778596,wkcomp
388,Federal Ins Co Grp,1993,1997,5,135266,92374,22734,308666,71344,237322,0,778596,wkcomp
388,Federal Ins Co Grp,1994,1994,1,158063,25845,59821,322088,71959,250129,0,778596,wkcomp
388,Federal Ins Co Grp,1994,1995,2,158779,60543,40899,322088,71959,250129,0,778596,wkcomp
388,Federal Ins Co Grp,1994,1996,3,146818,76743,29472,322088,71959,250129,0,778596,wkcomp
388,Federal Ins Co Grp,1994,1997,4,137863,82470,27187,322088,71959,250129,0,778596,wkcomp
388,Federal Ins Co Grp,1995,1995,1,154023,25415,69551,345680,78730,266950,0,778596,wkcomp
388,Federal Ins Co Grp,1995,1996,2,155796,54791,46040,345680,78730,266950,0,778596,wkcomp
388,Federal Ins Co Grp,1995,1997,3,148799,64854,41204,345680,78730,266950,0,778596,wkcomp
388,Federal Ins Co Grp,1996,1996,1,164351,32804,57239,355938,66238,289700,0,778596,wkcomp
388,Federal Ins Co Grp,1996,1997,2,172063,59141,41561,355938,66238,289700,0,778596,wkcomp
388,Federal Ins Co Grp,1997,1997,1,196269,40409,67205,356406,19991,336415,0,778596,wkcomp
460,Buckeye Ins Grp,1988,1988,1,0,0,0,0,0,0,0,0,wkcomp
460,Buckeye Ins Grp,1988,1989,2,0,0,0,0,0,0,0,0,wkcomp
460,Buckeye Ins Grp,1988,1990,3,0,0,0,0,0,0,0,0,wkcomp
460,Buckeye Ins Grp,1988,1991,4,0,0,0,0,0,0,0,0,wkcomp
460,Buckeye Ins Grp,1988,1992,5,0,0,0,0,0,0,0,0,wkcomp
460,Buckeye Ins Grp,1988,1993,6,0,0,0,0,0,0,0,0,wkcomp
460,Buckeye Ins Grp,1988,1994,7,0,0,0,0,0,0,0,0,wkcomp
460,Buckeye Ins Grp,1988,1995,8,0,0,0,0,0,0,0,0,wkcomp
460,Buckeye Ins Grp,1988,1996,9,0,0,0,0,0,0,0,0,wkcomp
460,Buckeye Ins Grp,1988,1997,10,0,0,0,0,0,0,0,0,wkcomp
460,Buckeye Ins Grp,1989,1989,1,0,0,0,2,1,1,0,0,wkcomp
460,Buckeye Ins Grp,1989,1990,2,11,0,0,2,1,1,0,0,wkcomp
460,Buckeye Ins Grp,1989,1991,3,10,10,0,2,1,1,0,0,wkcomp
460,Buckeye Ins Grp,1989,1992,4,10,10,0,2,1,1,0,0,wkcomp
460,Buckeye Ins Grp,1989,1993,5,10,10,0,2,1,1,0,0,wkcomp
460,Buckeye Ins Grp,1989,1994,6,10,10,0,2,1,1,0,0,wkcomp
460,Buckeye Ins Grp,1989,1995,7,10,10,0,2,1,1,0,0,wkcomp
460,Buckeye Ins Grp,1989,1996,8,10,10,0,2,1,1,0,0,wkcomp
460,Buckeye Ins Grp,1989,1997,9,10,10,0,2,1,1,0,0,wkcomp
460,Buckeye Ins Grp,1990,1990,1,0,0,0,0,0,0,0,0,wkcomp
460,Buckeye Ins Grp,1990,1991,2,0,0,0,0,0,0,0,0,wkcomp
460,Buckeye Ins Grp,1990,1992,3,0,0,0,0,0,0,0,0,wkcomp
460,Buckeye Ins Grp,1990,1993,4,0,0,0,0,0,0,0,0,wkcomp
460,Buckeye Ins Grp,1990,1994,5,0,0,0,0,0,0,0,0,wkcomp
460,Buckeye Ins Grp,1990,1995,6,0,0,0,0,0,0,0,0,wkcomp
460,Buckeye Ins Grp,1990,1996,7,0,0,0,0,0,0,0,0,wkcomp
460,Buckeye Ins Grp,1990,1997,8,0,0,0,0,0,0,0,0,wkcomp
460,Buckeye Ins Grp,1991,1991,1,4,2,0,8,3,5,0,0,wkcomp
460,Buckeye Ins Grp,1991,1992,2,32,28,0,8,3,5,0,0,wkcomp
460,Buckeye Ins Grp,1991,1993,3,42,41,0,8,3,5,0,0,wkcomp
460,Buckeye Ins Grp,1991,1994,4,41,41,0,8,3,5,0,0,wkcomp
460,Buckeye Ins Grp,1991,1995,5,41,41,0,8,3,5,0,0,wkcomp
460,Buckeye Ins Grp,1991,1996,6,41,41,0,8,3,5,0,0,wkcomp
460,Buckeye Ins Grp,1991,1997,7,41,41,0,8,3,5,0,0,wkcomp
460,Buckeye Ins Grp,1992,1992,1,0,0,0,7,0,7,0,0,wkcomp
460,Buckeye Ins Grp,1992,1993,2,0,0,0,7,0,7,0,0,wkcomp
460,Buckeye Ins Grp,1992,1994,3,0,0,0,7,0,7,0,0,wkcomp
460,Buckeye Ins Grp,1992,1995,4,0,0,0,7,0,7,0,0,wkcomp
460,Buckeye Ins Grp,1992,1996,5,0,0,0,7,0,7,0,0,wkcomp
460,Buckeye Ins Grp,1992,1997,6,0,0,0,7,0,7,0,0,wkcomp
460,Buckeye Ins Grp,1993,1993,1,0,0,0,0,0,0,0,0,wkcomp
460,Buckeye Ins Grp,1993,1994,2,0,0,0,0,0,0,0,0,wkcomp
460,Buckeye Ins Grp,1993,1995,3,0,0,0,0,0,0,0,0,wkcomp
460,Buckeye Ins Grp,1993,1996,4,0,0,0,0,0,0,0,0,wkcomp
460,Buckeye Ins Grp,1993,1997,5,0,0,0,0,0,0,0,0,wkcomp
460,Buckeye Ins Grp,1994,1994,1,0,0,0,0,0,0,0,0,wkcomp
460,Buckeye Ins Grp,1994,1995,2,0,0,0,0,0,0,0,0,wkcomp
460,Buckeye Ins Grp,1994,1996,3,0,0,0,0,0,0,0,0,wkcomp
460,Buckeye Ins Grp,1994,1997,4,0,0,0,0,0,0,0,0,wkcomp
460,Buckeye Ins Grp,1995,1995,1,0,0,0,0,0,0,0,0,wkcomp
460,Buckeye Ins Grp,1995,1996,2,0,0,0,0,0,0,0,0,wkcomp
460,Buckeye Ins Grp,1995,1997,3,0,0,0,0,0,0,0,0,wkcomp
460,Buckeye Ins Grp,1996,1996,1,0,0,0,0,0,0,0,0,wkcomp
460,Buckeye Ins Grp,1996,1997,2,0,0,0,0,0,0,0,0,wkcomp
460,Buckeye Ins Grp,1997,1997,1,0,0,0,0,0,0,0,0,wkcomp
655,FM Global,1988,1988,1,10,0,10,-27,25,-52,0,5498,wkcomp
655,FM Global,1988,1989,2,0,0,0,-27,25,-52,0,5498,wkcomp
655,FM Global,1988,1990,3,0,0,0,-27,25,-52,0,5498,wkcomp
655,FM Global,1988,1991,4,0,0,0,-27,25,-52,0,5498,wkcomp
655,FM Global,1988,1992,5,0,0,0,-27,25,-52,0,5498,wkcomp
655,FM Global,1988,1993,6,0,0,0,-27,25,-52,0,5498,wkcomp
655,FM Global,1988,1994,7,0,0,0,-27,25,-52,0,5498,wkcomp
655,FM Global,1988,1995,8,0,0,0,-27,25,-52,0,5498,wkcomp
655,FM Global,1988,1996,9,0,0,0,-27,25,-52,0,5498,wkcomp
655,FM Global,1988,1997,10,0,0,0,-27,25,-52,0,5498,wkcomp
655,FM Global,1989,1989,1,78,1,77,170,-83,253,0,5498,wkcomp
655,FM Global,1989,1990,2,1,1,0,170,-83,253,0,5498,wkcomp
