118143047192,447447895,10/05/2022 09:06:03 AM,10/05/2022 09:09:35 AM,192.243.35.253,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Less than once a month,Less than once a month,,Not at all,Advanced,Not at all,Not at all,Not at all,Not at all,Basic stuff,Basic stuff,,Very much so,Very much so,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Unsure,,Somewhat,Unsure,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,,,,Excel,,,,,A business intelligence dashboarding tool like Power BI,SQL,,,,,,Not enough time,,,Insufficient/inadequate staff,,,,Not enough time,,,"Linear regression, including GLMs",Credibility,,,"Bayesian analysis, and/or MCMC",,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,,,Financial cost,Not enough time,,,,,,FCAS,51-60 years old,United States,,Insurance company,,11-25,More than 20
118142955337,447447895,10/05/2022 06:50:36 AM,10/05/2022 06:56:10 AM,207.134.102.10,,,,,At least once a month,At least once a day,Not at all,At least once a day,Not at all,Not at all,At least once a week,At least once a day,,Advanced,Expert,Not at all,Expert,Not at all,Not at all,Advanced,Intermediate,,Somewhat,Very much so,Very much so,Very much so,Unsure,Very much so,Not at all,Not at all,Not at all,Very much so,Very much so,Very much so,Very much so,Unsure,Very much so,Not at all,Not at all,Not at all,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,,"Cloud Computing services, like AzureML/AWS",R,,,,Python,,,,,Insufficient/inadequate staff,,Lack of IT support,,,,,,,Lack of IT support,,,No perceived benefit,,,,,,,,"Time series analysis, including claim trend analysis",,Chain-ladder,,Unsupervised learning methods like clustering or PCA,,,,,,Not enough time,,,,,,None yet,Up to 30 years old,Canada,,Insurance company,,26-50,Less than 5
118142660126,447447895,10/04/2022 08:25:16 PM,10/04/2022 08:32:56 PM,134.238.195.102,,,,,Less than once a month,At least once a day,At least once a day,Not at all,Not at all,At least once a week,At least once a month,At least once a week,,Basic stuff,Advanced,Advanced,Basic stuff,Not at all,Intermediate,Basic stuff,Advanced,,Somewhat,Very much so,Unsure,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Unsure,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,,,,,,,,A data visualization tool like Tableau,A business intelligence dashboarding tool like Power BI,SQL,,Insufficient/inadequate staff,,,,Not enough time,,,Insufficient/inadequate staff,,,,Not enough time,,,,,,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,,,,,,,,,,FCAS,31-40 years old,United States,,Consulting Firm,,51-200,Between 15 and 20
118142312904,447447895,10/04/2022 12:45:03 PM,10/04/2022 12:54:03 PM,72.131.53.173,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Less than once a month,At least once a week,,Not at all,Advanced,Basic stuff,Basic stuff,Not at all,Not at all,Intermediate,Intermediate,,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Very much so,Somewhat,Unsure,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Unsure,Somewhat,Somewhat,Unsure,,,R,,,,,,A business intelligence dashboarding tool like Power BI,,,Insufficient/inadequate staff,,,,Not enough time,,,,,Lack of IT support,,Not enough time,,,,Credibility,Premium adjustment,,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,Insufficient/inadequate staff,Lack of management support,Lack of IT support,,Not enough time,No perceived benefit,,,,,ACAS,41-50 years old,United States,,Insurance company,,11-25,Between 15 and 20
118142280718,447447895,10/04/2022 09:53:47 AM,10/04/2022 12:21:28 PM,12.10.178.162,,,,,At least once a month,At least once a day,Not at all,Not at all,Less than once a month,Less than once a month,Less than once a month,Less than once a month,,Intermediate,Advanced,Intermediate,Not at all,Basic stuff,Not at all,Not at all,Not at all,,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,,Microsoft Access,R,Excel,,,,,,SQL,,,,,,Not enough time,No perceived benefit,,,,,,,No perceived benefit,,"Linear regression, including GLMs",,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,,,,,,,,,Not enough time,,,,,,None yet,Up to 30 years old,United States,,Consulting Firm,,11-25,Less than 5
118142093690,447447895,10/04/2022 09:51:27 AM,10/04/2022 09:55:34 AM,206.81.38.152,,,,,At least once a month,At least once a day,Not at all,Not at all,Less than once a month,Less than once a month,Less than once a month,At least once a day,,Basic stuff,Expert,Basic stuff,Basic stuff,Basic stuff,Intermediate,Basic stuff,Intermediate,,Somewhat,Very much so,Somewhat,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,,,R,,,,Python,,A business intelligence dashboarding tool like Power BI,SQL,,,,,,Not enough time,,,,,,,Not enough time,,,,Credibility,,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,,,,Not enough time,,,,,,FCAS,51-60 years old,United States,,Insurance company,,11-25,More than 20
118141695332,447447895,10/03/2022 09:06:21 PM,10/03/2022 09:10:24 PM,73.246.96.114,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,,Basic stuff,Expert,Expert,Not at all,Basic stuff,Not at all,Not at all,Basic stuff,,Unsure,Somewhat,Unsure,Unsure,Somewhat,Unsure,Unsure,Not at all,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Unsure,,"@Risk, a simulation software",R,Excel,,,,,,,,,,Lack of IT support,Financial cost,Not enough time,No perceived benefit,,,,Lack of IT support,Financial cost,Not enough time,No perceived benefit,,,Credibility,,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,,,,,No perceived benefit,,,,,None yet,Up to 30 years old,United States,,Consulting Firm,,200+,Less than 5
118141694913,447447895,10/03/2022 09:01:21 PM,10/03/2022 09:09:38 PM,112.65.48.45,,,,,Less than once a month,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Less than once a month,,Intermediate,Advanced,Not at all,Not at all,Not at all,Not at all,Not at all,Intermediate,,Very much so,Unsure,Unsure,Somewhat,Unsure,Unsure,,,,,,,,,,,,,,,,Very much so,Unsure,Unsure,,,R,,,,,,,,,,,,,Not enough time,No perceived benefit,,Insufficient/inadequate staff,Lack of management support,Lack of IT support,,,,,,,Premium adjustment,,,,,,Chain-ladder,,,,,Lack of management support,,,,,Most of my work is about premium adjustment only and I don't see a necessity to use other techniques.,,,,None yet,31-40 years old,Asia,,Insurance company,,1-5,Less than 5
118141682564,447447895,10/03/2022 08:43:09 PM,10/03/2022 08:49:05 PM,135.180.10.82,,,,,At least once a week,At least once a day,Not at all,Not at all,Not at all,Not at all,At least once a month,Less than once a month,,Basic stuff,Advanced,Intermediate,Basic stuff,Not at all,Not at all,Not at all,Not at all,,Very much so,,,Very much so,,,Somewhat,,,Somewhat,,,Very much so,,,Very much so,,,Very much so,,,Somewhat,,,,,R,,,,,,,,,,,,,Not enough time,,,,,,,Not enough time,,,"Linear regression, including GLMs",Credibility,,Excess loss analysis,,,"Time series analysis, including claim trend analysis",,,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,Monte carlo simuluations,,,,,,,,,,,FCAS,41-50 years old,United States,,Non-governmental insurance service organization,,11-25,Between 15 and 20
118141537621,447447895,10/03/2022 04:48:56 PM,10/03/2022 05:05:57 PM,213.55.240.148,,,,,Less than once a month,At least once a day,Not at all,Not at all,Less than once a month,Less than once a month,Less than once a month,Not at all,,Advanced,Intermediate,Not at all,Basic stuff,Intermediate,Not at all,Basic stuff,Not at all,,Not at all,Not at all,Not at all,Very much so,Unsure,Unsure,Not at all,Not at all,Not at all,Very much so,Unsure,Somewhat,Very much so,Unsure,Very much so,Not at all,Not at all,Not at all,Unsure,Not at all,Unsure,Unsure,Not at all,Unsure,,None,,,,,Python,,A business intelligence dashboarding tool like Power BI,,,,,,,Not enough time,,,,,,,Not enough time,No perceived benefit,,"Linear regression, including GLMs",,,Excess loss analysis,,,"Time series analysis, including claim trend analysis",,Chain-ladder,,,Distribution fitting,,Lack of management support,,,Not enough time,No perceived benefit,,,,,None yet,31-40 years old,Europe,,Reinsurance company,,6-10,Between 5 and 10
